"site_id","datetime","depth_m","variable","observation"
"bvre",2020-07-03,6,"DO_mgL_mean",6.82031539583333
"bvre",2020-07-03,13,"DO_mgL_mean",0
"bvre",2020-07-03,1.5,"DO_mgL_mean",11.5769444444444
"bvre",2020-07-03,1.5,"Chla_ugL_mean",6.26055555555556
"bvre",2020-07-03,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-03,1.5,"fDOM_QSU_mean",15.0007638888889
"bvre",2020-07-04,1,"Temp_C_mean",NA
"bvre",2020-07-04,2,"Temp_C_mean",28.5968528472222
"bvre",2020-07-04,3,"Temp_C_mean",26.9693840277778
"bvre",2020-07-04,4,"Temp_C_mean",23.4174852083333
"bvre",2020-07-04,5,"Temp_C_mean",19.8659775694444
"bvre",2020-07-04,6,"Temp_C_mean",17.2957178472222
"bvre",2020-07-04,7,"Temp_C_mean",15.0423757638889
"bvre",2020-07-04,8,"Temp_C_mean",13.567976875
"bvre",2020-07-04,9,"Temp_C_mean",12.4476147916667
"bvre",2020-07-04,10,"Temp_C_mean",11.3946747222222
"bvre",2020-07-04,11,"Temp_C_mean",NA
"bvre",2020-07-04,12,"Temp_C_mean",NA
"bvre",2020-07-04,13,"Temp_C_mean",NA
"bvre",2020-07-04,6,"DO_mgL_mean",6.84336638888889
"bvre",2020-07-04,13,"DO_mgL_mean",0
"bvre",2020-07-04,1.5,"DO_mgL_mean",11.8886111111111
"bvre",2020-07-04,1.5,"Chla_ugL_mean",6.51465277777778
"bvre",2020-07-04,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-04,1.5,"fDOM_QSU_mean",15.4622222222222
"bvre",2020-07-05,1,"Temp_C_mean",NA
"bvre",2020-07-05,2,"Temp_C_mean",28.3110534722222
"bvre",2020-07-05,3,"Temp_C_mean",27.453475
"bvre",2020-07-05,4,"Temp_C_mean",23.7610934027778
"bvre",2020-07-05,5,"Temp_C_mean",20.084448125
"bvre",2020-07-05,6,"Temp_C_mean",17.4477761805556
"bvre",2020-07-05,7,"Temp_C_mean",15.0604128472222
"bvre",2020-07-05,8,"Temp_C_mean",13.6094613194444
"bvre",2020-07-05,9,"Temp_C_mean",12.4553674305556
"bvre",2020-07-05,10,"Temp_C_mean",11.366731875
"bvre",2020-07-05,11,"Temp_C_mean",NA
"bvre",2020-07-05,12,"Temp_C_mean",NA
"bvre",2020-07-05,13,"Temp_C_mean",NA
"bvre",2020-07-05,6,"DO_mgL_mean",6.96336393055556
"bvre",2020-07-05,13,"DO_mgL_mean",0
"bvre",2020-07-05,1.5,"DO_mgL_mean",12.0236111111111
"bvre",2020-07-05,1.5,"Chla_ugL_mean",6.97215277777778
"bvre",2020-07-05,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-05,1.5,"fDOM_QSU_mean",15.7509722222222
"bvre",2020-07-06,1,"Temp_C_mean",NA
"bvre",2020-07-06,2,"Temp_C_mean",28.6434909027778
"bvre",2020-07-06,3,"Temp_C_mean",27.9436991666667
"bvre",2020-07-06,4,"Temp_C_mean",24.2117667361111
"bvre",2020-07-06,5,"Temp_C_mean",20.2754977777778
"bvre",2020-07-06,6,"Temp_C_mean",17.5156685416667
"bvre",2020-07-06,7,"Temp_C_mean",15.1039100694444
"bvre",2020-07-06,8,"Temp_C_mean",13.5982615277778
"bvre",2020-07-06,9,"Temp_C_mean",12.4367613888889
"bvre",2020-07-06,10,"Temp_C_mean",11.3563213888889
"bvre",2020-07-06,11,"Temp_C_mean",NA
"bvre",2020-07-06,12,"Temp_C_mean",NA
"bvre",2020-07-06,13,"Temp_C_mean",NA
"bvre",2020-07-06,6,"DO_mgL_mean",6.89314879166667
"bvre",2020-07-06,13,"DO_mgL_mean",0
"bvre",2020-07-06,1.5,"DO_mgL_mean",12.1185416666667
"bvre",2020-07-06,1.5,"Chla_ugL_mean",7.05847222222222
"bvre",2020-07-06,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-06,1.5,"fDOM_QSU_mean",15.9142361111111
"bvre",2020-07-07,1,"Temp_C_mean",NA
"bvre",2020-07-07,2,"Temp_C_mean",28.4156727083333
"bvre",2020-07-07,3,"Temp_C_mean",28.0394119444444
"bvre",2020-07-07,4,"Temp_C_mean",24.6102435416667
"bvre",2020-07-07,5,"Temp_C_mean",20.4467269444444
"bvre",2020-07-07,6,"Temp_C_mean",17.5775243055556
"bvre",2020-07-07,7,"Temp_C_mean",15.2103430555556
"bvre",2020-07-07,8,"Temp_C_mean",13.6255145833333
"bvre",2020-07-07,9,"Temp_C_mean",12.4367074305556
"bvre",2020-07-07,10,"Temp_C_mean",11.355348125
"bvre",2020-07-07,11,"Temp_C_mean",NA
"bvre",2020-07-07,12,"Temp_C_mean",NA
"bvre",2020-07-07,13,"Temp_C_mean",NA
"bvre",2020-07-07,6,"DO_mgL_mean",6.8172971875
"bvre",2020-07-07,13,"DO_mgL_mean",0
"bvre",2020-07-07,1.5,"DO_mgL_mean",12.1327777777778
"bvre",2020-07-07,1.5,"Chla_ugL_mean",7.17770833333333
"bvre",2020-07-07,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-07,1.5,"fDOM_QSU_mean",16.0045833333333
"bvre",2020-07-08,1,"Temp_C_mean",NA
"bvre",2020-07-08,2,"Temp_C_mean",28.44120875
"bvre",2020-07-08,3,"Temp_C_mean",28.0845459722222
"bvre",2020-07-08,4,"Temp_C_mean",24.905733125
"bvre",2020-07-08,5,"Temp_C_mean",20.7034452083333
"bvre",2020-07-08,6,"Temp_C_mean",17.709993125
"bvre",2020-07-08,7,"Temp_C_mean",15.2027176388889
"bvre",2020-07-08,8,"Temp_C_mean",13.6310476388889
"bvre",2020-07-08,9,"Temp_C_mean",12.4150098611111
"bvre",2020-07-08,10,"Temp_C_mean",11.3569697916667
"bvre",2020-07-08,11,"Temp_C_mean",NA
"bvre",2020-07-08,12,"Temp_C_mean",NA
"bvre",2020-07-08,13,"Temp_C_mean",NA
"bvre",2020-07-08,6,"DO_mgL_mean",6.84193604861111
"bvre",2020-07-08,13,"DO_mgL_mean",0
"bvre",2020-07-08,1.5,"DO_mgL_mean",11.985
"bvre",2020-07-08,1.5,"Chla_ugL_mean",7.39833333333333
"bvre",2020-07-08,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-07-08,1.5,"fDOM_QSU_mean",15.9571527777778
"bvre",2020-07-09,1,"Temp_C_mean",NA
"bvre",2020-07-09,2,"Temp_C_mean",28.48916125
"bvre",2020-07-09,3,"Temp_C_mean",28.2586534722222
"bvre",2020-07-09,4,"Temp_C_mean",25.244266875
"bvre",2020-07-09,5,"Temp_C_mean",20.8849708333333
